  PID  PPID STAT COMM             ARGS
    1     0 Ss   /sbin/launchd    /sbin/launchd
  310     1 Ss   /usr/libexec/log /usr/libexec/logd
  312     1 Ss   /usr/libexec/Use /usr/libexec/UserEventAgent (System)
  314     1 Ss   /System/Library/ /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  315     1 Ss   /System/Library/ /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  318     1 Ss   /usr/sbin/system /usr/sbin/systemstats --daemon
  321     1 Ss   /usr/libexec/con /usr/libexec/configd
  323     1 Ss   /System/Library/ /System/Library/CoreServices/powerd.bundle/powerd
  324     1 Ss   /usr/libexec/IOM /usr/libexec/IOMFB_bics_daemon
  332     1 Ss   /System/Library/ /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  334     1 Ss   /usr/libexec/wat /usr/libexec/watchdogd
  338     1 Ss   /System/Library/ /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  340     1 Ss   /usr/libexec/ker /usr/libexec/kernelmanagerd
  341     1 Ss   /usr/libexec/dis /usr/libexec/diskarbitrationd
  345     1 Ss   /usr/sbin/syslog /usr/sbin/syslogd
  348     1 Ss   /usr/libexec/the /usr/libexec/thermalmonitord
  349     1 Ss   /usr/libexec/ope /usr/libexec/opendirectoryd
  351     1 Ss   /System/Library/ /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  352     1 Ss   /System/Library/ /System/Library/CoreServices/launchservicesd
  353     1 Ss   /usr/libexec/tim /usr/libexec/timed
  354     1 Ss   /System/Library/ /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  355     1 Ss   /usr/sbin/securi /usr/sbin/securityd -i
  357     1 Ss   /usr/libexec/loc /usr/libexec/locationd
  360     1 Ss   autofsd          autofsd
  361     1 Ss   /usr/libexec/das /usr/libexec/dasd
  363     1 Ss   /usr/sbin/distno /usr/sbin/distnoted daemon
  365     1 Ss   /usr/libexec/Per /usr/libexec/PerfPowerServices
  367     1 Ss   /System/Library/ /System/Library/CoreServices/logind
  368     1 Ss   /System/Library/ /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  369     1 Ss   /usr/sbin/Kernel /usr/sbin/KernelEventAgent
  372     1 Ss   /usr/sbin/blueto /usr/sbin/bluetoothd
  373     1 Ss   /usr/sbin/notify /usr/sbin/notifyd
  375     1 Ss   /usr/libexec/cor /usr/libexec/corebrightnessd --launchd
  376     1 Ss   /usr/libexec/Air /usr/libexec/AirPlayXPCHelper
  377     1 Ss   /System/Library/ /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  379     1 Ss   /usr/libexec/log /usr/libexec/logd_helper
